Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,-25819.907141677835,-25820.651586687636,2.0571869635134337,-25822.824644590895,-25814.446484073633,60,100.0
AG GBX,-25811.35340218382,-25814.646400758953,9.453069757615733,-25821.889392252622,-25781.491722883475,60,100.0
AG GBX2,-25818.829987807654,-25819.05128440732,2.66172820724453,-25822.903662525863,-25810.881993529765,60,100.0
GASI-POP BLX-α,-25799.32346956254,-25799.238186091094,10.56322166066626,-25820.292069238145,-25765.42876918054,60,100.0
GASI-POP GBX,-25805.508823746688,-25808.846350932126,12.217150896476436,-25821.46246723773,-25776.74484795592,60,100.0
GASI-POP GBX2,-25818.29372468993,-25819.04891085424,3.080484953704856,-25822.92728215015,-25809.394978664808,60,100.0
GASI-S BLX-α,-25803.455622734768,-25805.51968769259,9.299445912472514,-25821.17971256366,-25777.173807733616,60,100.0
GASI-S GBX,-25790.390214881776,-25791.56660897625,20.856693496010955,-25821.808438542364,-25736.26514827126,60,100.0
GASI-S GBX2,-25816.278123067237,-25817.046691542746,5.129220004873043,-25822.864683647877,-25797.766111576057,60,100.0
