Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,7886.209652397942,7886.126587702145,8.270382378158317,7870.319152139875,7906.813761809255,60,100.0
AG GBX,9089.92174364575,8964.593735526196,638.0276085635979,8110.552018251081,11255.693447773298,60,100.0
AG GBX2,9395.384162379214,9377.010791079389,735.5634142405322,8065.131915640035,11051.478517533355,60,100.0
GASI-POP BLX-α,8965.228734597451,8988.175769063026,448.2765961969497,8258.831919721806,10024.598512308017,60,100.0
GASI-POP GBX,9930.351725314358,9911.449789422924,901.2768520630011,8390.071690657238,11769.511850632827,60,100.0
GASI-POP GBX2,10491.341684988536,10158.795827319267,1126.546680531076,8491.91334730851,13997.729272917977,60,100.0
GASI-S BLX-α,8804.812633705653,8772.658254958653,343.69365299230253,8027.440289508517,9608.196640669328,60,100.0
GASI-S GBX,9696.745999100285,9631.02962156891,809.9005137359962,8486.11038350866,11652.571875679218,60,100.0
GASI-S GBX2,10308.600950591035,10135.28208573742,1185.5402729707873,8321.368305489057,13994.067378076961,60,100.0
