Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,-25817.160982071877,-25816.90338688795,2.609274129832843,-25822.63505366184,-25810.367267905498,60,100.0
AG GBX,-25806.332881113714,-25808.776548830105,12.441781707813076,-25822.39267119852,-25765.046760388042,60,100.0
AG GBX2,-25818.971619591863,-25820.010598015004,3.0463145382901318,-25822.898691452705,-25811.267639552643,60,100.0
GASI-POP BLX-α,-25794.210368974826,-25795.769724695696,14.269642554048284,-25818.819176552694,-25756.792416348857,60,100.0
GASI-POP GBX,-25796.646344624376,-25803.217070509374,22.58482941597905,-25822.258024581533,-25704.600785299706,60,100.0
GASI-POP GBX2,-25817.774473152476,-25818.73584387443,3.8020108390469365,-25822.376297005816,-25806.115074460602,60,100.0
GASI-S BLX-α,-25794.203416808745,-25794.768673412214,14.797365041693482,-25820.87065422521,-25748.198018935145,60,100.0
GASI-S GBX,-25783.956558300622,-25788.533193941723,27.972170577333593,-25822.20188382523,-25714.86422585826,60,100.0
GASI-S GBX2,-25816.37837917763,-25818.470867820815,5.795938507445503,-25822.80257722639,-25794.635499705015,60,100.0
