Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,0.01124822283811857,0.011177968453233338,0.0005699879442093495,0.010482669928643351,0.013062559019852147,60,100.0
AG GBX,0.010499122648027957,0.010493148500025376,7.07765608003172e-05,0.01039618639024899,0.010706848041528296,60,100.0
AG GBX2,0.01047427899707666,0.010472410847060503,5.67827383327138e-05,0.010391219467038613,0.010651442847266485,60,100.0
GASI-POP BLX-α,0.011620570388660044,0.011418372377464056,0.0007364045090652608,0.010560612135644172,0.013944472474347394,60,100.0
GASI-POP GBX,0.010519022749984354,0.01051255064354768,7.430537305514255e-05,0.01038718091616403,0.010674144892615797,60,100.0
GASI-POP GBX2,0.010465198169683753,0.01046346359411292,5.0495266701227573e-05,0.010377344629169847,0.010603801249647042,60,100.0
GASI-S BLX-α,0.010701569437204548,0.01064757912389483,0.00023987993540782287,0.010393987342095963,0.011761204444920013,60,100.0
GASI-S GBX,0.010617968536712949,0.010606422902803465,0.00014431924167076493,0.010382623018874422,0.01103110786696126,60,100.0
GASI-S GBX2,0.010510455813524862,0.010507909352171024,6.27286748285989e-05,0.010397435204629334,0.010678959788666233,60,100.0
