Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,7888.17075171664,7888.510250069304,9.734689788041317,7867.156502062138,7911.382807136597,60,100.0
AG GBX,9206.586322078287,9002.077016985251,633.7826794926176,8084.508733760933,10968.306001346436,60,100.0
AG GBX2,9320.462391699628,9239.301976168961,646.0242264904122,8212.172111639304,10998.19087989743,60,100.0
GASI-POP BLX-α,8942.356499775407,8964.375371252425,378.10815293212363,8018.066813586785,9805.136114221017,60,100.0
GASI-POP GBX,10200.950346418174,10240.72227950947,1037.141011589499,8307.22297661993,12335.685600433193,60,100.0
GASI-POP GBX2,10621.643424105061,10570.276330838495,1178.8557356288925,8180.686549756048,13150.830174398807,60,100.0
GASI-S BLX-α,8719.906707916803,8698.54231809606,386.1977468931939,7965.49961019721,9536.933725619527,60,100.0
GASI-S GBX,9917.403639708291,9808.123992821409,897.0606320569437,8428.729354338284,11987.787708959804,60,100.0
GASI-S GBX2,10111.311341933395,10019.11169098786,859.0941258395837,8450.69932101454,12634.568753756448,60,100.0
