Algoritmo,Mean,Median,Std. Dev,Best,Worst
AG BLX-α,15585.372000000003,15606.070000000003,79.75027345407617,15694.880000000005,15431.590000000004
AG GBX,13261.005,13200.205000000002,394.77598947377805,14041.600000000002,12715.58
AG GBX2,13531.406000000003,13445.965000000004,542.7625219780749,14618.600000000004,12831.87
GASI-POP BLX-α,10280.886999999999,10291.085,232.80239736952987,10703.670000000004,9933.420000000002
GASI-POP GBX,11045.241000000002,10967.465,400.82507225596584,11610.63,10539.97
GASI-POP GBX2,11016.892000000002,10956.730000000003,648.4140353940523,12282.87,10169.080000000002
GASI-S BLX-α,9870.284,9952.005000000001,429.23850741050694,10544.9,9103.710000000001
GASI-S GBX,10744.692000000001,10679.960000000001,644.4473732866016,11890.470000000003,9956.51
GASI-S GBX2,10727.52,10561.599999999999,656.7434999602201,12377.15,9938.16
