Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,1.7150492893026645,1.7076599367789558,0.015424043753913184,1.6988068789739403,1.770249461827581,60,100.0
AG GBX,1.7852957957690012,1.7842464373178815,0.03350840398910959,1.715947767687457,1.8726208389787595,60,100.0
AG GBX2,1.8403761040944435,1.8369175831035465,0.06316790101228932,1.7194319735646744,2.0457325119472975,60,100.0
GASI-POP BLX-α,1.816684575943738,1.8105282989316724,0.0511046980584154,1.7285188837279086,1.9511576474830468,60,100.0
GASI-POP GBX,1.790956545278187,1.787985723294684,0.039887915693323846,1.7206641617446552,1.9176417134516732,60,100.0
GASI-POP GBX2,1.8353353747458399,1.8251892086853831,0.05384539406723479,1.7223915139742658,1.9905017158190028,60,100.0
GASI-S BLX-α,1.7999298579111376,1.8043902249679897,0.03822791199344879,1.7112942403677402,1.871746930344722,60,100.0
GASI-S GBX,1.8250322311127898,1.817413258691531,0.05597504588017342,1.7410694362735926,1.9795265329267795,60,100.0
GASI-S GBX2,1.8852102679299074,1.8863036095382764,0.07588120469787493,1.7356099176140125,2.024900105717253,60,100.0
