Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,263.89921925046536,263.897835909589,0.0042893563656288,263.8958449274754,263.9160646679084,60,100.0
AG GBX,263.92046954344255,263.9196311711166,0.015328416246209321,263.8969590173571,263.96061165588367,60,100.0
AG GBX2,263.94605270155483,263.94023414183096,0.03575020545590952,263.89866183489016,264.08989561956815,60,100.0
GASI-POP BLX-α,263.9064443240486,263.9047939117926,0.00786844370643226,263.896647451518,263.9394630617455,60,100.0
GASI-POP GBX,263.9310257549092,263.92350206169965,0.023323420999232677,263.89822986838385,263.98867451869944,60,100.0
GASI-POP GBX2,263.9504600419269,263.94706461841866,0.0320360254239935,263.89862125590685,264.02403519778926,60,100.0
GASI-S BLX-α,263.9018884433744,263.9016599528369,0.003526146560676617,263.8962741371676,263.9106944527439,60,100.0
GASI-S GBX,263.93023910332255,263.924043792748,0.023369624181690557,263.8974290179203,264.0109373805062,60,100.0
GASI-S GBX2,263.9435684049249,263.93591723054016,0.030891684063996068,263.89695675898804,264.0286631638837,60,100.0
