Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,2895.512313013179,2895.418253788405,0.3779282551825985,2894.65124019378,2896.394644955909,60,100.0
AG GBX,2911.380100483745,2909.0118171700933,11.024595045111877,2896.3172209115182,2959.5270218408796,60,100.0
AG GBX2,2903.279268619184,2903.5981429694484,3.9700662426985462,2894.910538977153,2913.476329765155,60,100.0
GASI-POP BLX-α,2916.875123271662,2916.4319428343347,7.146958840064732,2902.5283935672433,2935.4565383097065,60,100.0
GASI-POP GBX,2911.695607039015,2909.105243877576,10.252105546865984,2896.4638687666475,2939.46755736281,60,100.0
GASI-POP GBX2,2906.3564435032313,2905.8975890079605,5.451502087209922,2895.255020985794,2921.305611008213,60,100.0
GASI-S BLX-α,2917.3860847375986,2916.1895523130047,8.149392624888224,2901.0650985850775,2939.7596822680134,60,100.0
GASI-S GBX,2921.1539924235385,2918.6672515036703,14.246995005246793,2896.2791988272156,2961.018641430387,60,100.0
GASI-S GBX2,2910.5471453657274,2910.466590830092,6.296127293613404,2897.905925592241,2936.206775841614,60,100.0
