Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,2.5127962119605103,2.499757746186998,0.07444411097503961,2.400080359322902,2.690909443428584,60,100.0
AG GBX,2.510784259788227,2.511446540027631,0.04414623454391693,2.429816256595001,2.627978402010969,60,100.0
AG GBX2,2.5806788357444637,2.578528588522847,0.07517445637852559,2.4284036450787214,2.7414379249681895,60,100.0
GASI-POP BLX-α,2.5903275062064184,2.58113426751419,0.0805632909841045,2.4352683142122364,2.7991944816602374,60,100.0
GASI-POP GBX,2.544481417517317,2.525806704590453,0.0663392147367497,2.436848393570245,2.731300668872599,60,100.0
GASI-POP GBX2,2.671930004240489,2.653126531574551,0.12093486611233999,2.4676946460251146,3.0480869848595664,60,100.0
GASI-S BLX-α,2.5242108272160495,2.5190110562767485,0.05699814778606179,2.424653912688777,2.6923209575195917,60,100.0
GASI-S GBX,2.5333143557354636,2.524652005502402,0.06014919944571582,2.422258557589473,2.7036551018563983,60,100.0
GASI-S GBX2,2.649195208175637,2.634747215738342,0.09776958318400161,2.450933775335402,2.9097578671172397,60,100.0
