Algoritmo,Mean,Median,Std. Dev,Best,Worst,Viáveis,Taxa (%)
AG BLX-α,26.531328164056035,26.53132788013389,1.4218082114852609e-06,26.53132788013384,26.53133868068875,60,100.0
AG GBX,26.568349407765474,26.564031899697,0.021041623767133262,26.537556921484985,26.625119607568287,60,100.0
AG GBX2,26.594411118235517,26.588677840187664,0.033763021458309325,26.534418189711715,26.672461333355415,60,100.0
GASI-POP BLX-α,26.55604231812749,26.55300447065858,0.01488611488737719,26.536307087412837,26.619107845790925,60,100.0
GASI-POP GBX,26.59508023094495,26.5926734496975,0.032834386505804135,26.539704363336885,26.686993186323924,60,100.0
GASI-POP GBX2,26.634826402500828,26.633925943785712,0.053643174855090146,26.53638565543556,26.76059395972637,60,100.0
GASI-S BLX-α,26.54419710463396,26.542341641405027,0.007344503293797307,26.531983264347282,26.563985176760482,60,100.0
GASI-S GBX,26.586378943901344,26.583227080710955,0.029384307395668084,26.538617202163692,26.656967045055527,60,100.0
GASI-S GBX2,26.619115236972203,26.613221409931903,0.043516209308009556,26.549745579675957,26.730233878840906,60,100.0
